Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
53171,SDAH LGL PASSENGER,SEALDAH,SDAH,3,ER,88.374713,22.566758
53171,SDAH LGL PASSENGER,DUM DUM,DDJ,3,ER,88.392835,22.621717
53171,SDAH LGL PASSENGER,BARRACKPORE,BP,5,ER,88.371428,22.7610653
53171,SDAH LGL PASSENGER,NAIHATI JN,NH,3,ER,88.4185,22.888555
53171,SDAH LGL PASSENGER,HALISAHAR,HLR,5,ER,88.436792,22.921499
53171,SDAH LGL PASSENGER,KANCHRAPARA,KPA,6,ER,88.451231,22.946024
53171,SDAH LGL PASSENGER,KALYANI,KYI,9,ER,88.467499,22.969219
53171,SDAH LGL PASSENGER,MADANPUR,MPJ,12,ER,88.489717,23.005928
53171,SDAH LGL PASSENGER,SIMURALI,SMX,14,ER,88.51016400000000,23.041337
53171,SDAH LGL PASSENGER,CHAKDAHA,CDH,14,ER,88.529672,23.078406
53171,SDAH LGL PASSENGER,PAYRADANGA,PDX,14,ER,88.545481,23.128661
53171,SDAH LGL PASSENGER,RANAGHAT JN,RHA,10,ER,88.568184,23.173344
53171,SDAH LGL PASSENGER,KALINARYNPUR JN,KLNP,14,ER,88.573216,23.206506
53171,SDAH LGL PASSENGER,BIRNAGAR,BIJ,14,ER,88.55125200000000,23.2358754
53171,SDAH LGL PASSENGER,TAHERPUR,THP,14,ER,88.54311900000000,23.259379
53171,SDAH LGL PASSENGER,BADKULLA,BDZ,14,ER,88.526557,23.3046657
53171,SDAH LGL PASSENGER,KRISHNGR CTY JN,KNJ,11,ER,88.493636,23.388714
53171,SDAH LGL PASSENGER,BAHADURPUR,BPD,10,ER,88.4633792,23.4385195
53171,SDAH LGL PASSENGER,DHUBULIA,DHU,14,ER,88.441145,23.483546
53171,SDAH LGL PASSENGER,MURAGACHA,MGM,13,ER,88.421243,23.529636
53171,SDAH LGL PASSENGER,BETHUADAHARI,BTY,13,ER,88.384597,23.610275
53171,SDAH LGL PASSENGER,SONADANGA,SVH,14,ER,88.354092,23.636393
53171,SDAH LGL PASSENGER,DEBAGRAM,DEB,14,ER,88.306807,23.685277
53171,SDAH LGL PASSENGER,PAGLA CHANDI,PCX,14,ER,88.303969,23.743195
53171,SDAH LGL PASSENGER,PLASSEY,PLY,15,ER,88.28447,23.777986
53171,SDAH LGL PASSENGER,SIRAJNAGAR H,SRJN,15,ER,88.27076000000000,23.818591
53171,SDAH LGL PASSENGER,REJINAGAR,REJ,15,ER,88.259255,23.85009
53171,SDAH LGL PASSENGER,BELDANGA,BEB,17,ER,88.2429681,23.9320594
53171,SDAH LGL PASSENGER,BHABTA,BFT,17,ER,88.241584,23.9869677
53171,SDAH LGL PASSENGER,SARAGCHNI,SGV,22,ER,88.244037,24.01772
53171,SDAH LGL PASSENGER,NEW BALARAMPUR H,NBPH,22,ER,88.24737400000000,24.051233
53171,SDAH LGL PASSENGER,BERHAMPORE CRT,BPC,16,ER,88.263642,24.0890841
53171,SDAH LGL PASSENGER,COSSIMBAZAR,CSZ,15,ER,88.266903,24.122264
53171,SDAH LGL PASSENGER,MURSHIDABAD,MBB,15,ER,88.281598,24.176964
53171,SDAH LGL PASSENGER,JIAGANJ,JJG,15,ER,88.27698,24.244268
53171,SDAH LGL PASSENGER,SUBARNAMRIGI,SBNM,15,ER,88.292124,24.27321
53171,SDAH LGL PASSENGER,BHAGWANGOLA,BQG,14,ER,88.309816,24.333178
53171,SDAH LGL PASSENGER,PIRTALA,PRTL,15,ER,88.28058300000000,24.359325
53171,SDAH LGL PASSENGER,KRISHNAPUR,KRP,16,ER,88.25613200000000,24.406331
53171,SDAH LGL PASSENGER,LALGOLA,LGL,3,ER,88.257513,24.421152
