Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12316,ANANYA EXPRESS,UDAIPUR CITY,UDZ,12,ER,73.699632,24.566862
12316,ANANYA EXPRESS,RANAPRATAPNAGAR,RPZ,16,ER,73.72805600000000,24.582417
12316,ANANYA EXPRESS,MAVLI JN,MVJ,15,ER,73.973721,24.794585
12316,ANANYA EXPRESS,CHANDERIYA,CNA,1,ER,74.629979,24.939558
12316,ANANYA EXPRESS,BHILWARA,BHL,20,ER,74.63077340000000,25.3435508
12316,ANANYA EXPRESS,BIJAINAGAR,BJNR,19,ER,74.65305890000000,25.931003
12316,ANANYA EXPRESS,NASIRABAD,NSD,22,ER,74.71699100000000,26.29446
12316,ANANYA EXPRESS,AJMER JN,AII,4,ER,74.63746400000000,26.456612
12316,ANANYA EXPRESS,JAIPUR,JP,4,ER,75.786923,26.920203
12316,ANANYA EXPRESS,SAWAI MADHOPUR,SWM,0,ER,76.35622,26.018279
12316,ANANYA EXPRESS,AGRA FORT,AF,25,ER,78.0191,27.183308
12316,ANANYA EXPRESS,TUNDLA JN,TDL,4,ER,78.233285,27.207747
12316,ANANYA EXPRESS,KANPUR CENTRAL,CNB,32,ER,80.350966,26.45424
12316,ANANYA EXPRESS,PRAYAGRAJ JN,PRYJ,152,ER,81.8253,25.4453
12316,ANANYA EXPRESS,PT DEEN DAYAL UPADHYAY JN,DDU,304,ER,,
12316,ANANYA EXPRESS,PATNA JN,PNBE,419,ER,85.136824,25.60256
12316,ANANYA EXPRESS,JHAJHA,JAJ,382,ER,86.399854,24.779456
12316,ANANYA EXPRESS,JASIDIH JN,JSME,395,ER,86.644255,24.514517
12316,ANANYA EXPRESS,MADHUPUR JN,MDP,399,ER,86.642183,24.270633
12316,ANANYA EXPRESS,ASANSOL JN,ASN,404,ER,86.975152,23.691441
12316,ANANYA EXPRESS,BARDDHAMAN JN,BWN,432,ER,87.87028100000000,23.249718
12316,ANANYA EXPRESS,KOLKATA,KOAA,417,ER,88.385179,22.601175
