Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
16542,PVR YPR EXP,PANDHARPUR,PVR,0,SWR,75.319283,17.66849
16542,PVR YPR EXP,SANGOLA,SGLA,0,SWR,75.187581,17.435563
16542,PVR YPR EXP,MIRAJ JN,MRJ,0,SWR,74.638839,16.819946
16542,PVR YPR EXP,RAYBAG,RBG,0,SWR,74.80682566350000,16.483374512
16542,PVR YPR EXP,GHATPRABHA,GPB,0,SWR,74.7598229541,16.240718896
16542,PVR YPR EXP,BELAGAVI,BGM,0,SWR,74.5095639,15.8492433
16542,PVR YPR EXP,DHARWAR,DWR,0,SWR,75.004552,15.440386
16542,PVR YPR EXP,HUBBALLI JN,UBL,0,SWR,75.148104,15.350302
16542,PVR YPR EXP,HAVERI,HVR,0,SWR,75.410686,14.7943
16542,PVR YPR EXP,HARIHAR,HRR,0,SWR,75.812314,14.515431
16542,PVR YPR EXP,DAVANGERE,DVG,0,SWR,75.92229,14.467834
16542,PVR YPR EXP,BIRUR JN,RRB,0,SWR,75.974749,13.591101
16542,PVR YPR EXP,ARSIKERE JN,ASK,0,SWR,76.2520848,13.314425
16542,PVR YPR EXP,TUMKUR,TK,0,SWR,77.10243900000000,13.333033
16542,PVR YPR EXP,YESVANTPUR JN,YPR,0,SWR,77.55117400000000,13.022839
