Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12448,U P SMPRK KRNTI,H NIZAMUDDIN,NZM,2,NR,77.254249,28.58733
12448,U P SMPRK KRNTI,MATHURA JN,MTJ,24,NR,77.67311700000000,27.480145
12448,U P SMPRK KRNTI,AGRA CANTT,AGC,26,NR,77.990153,27.157992
12448,U P SMPRK KRNTI,V LAKSHMIBAI JHANSI,VGLJ,45,NR,78.5533,25.4439
12448,U P SMPRK KRNTI,MAU RANIPUR,MRPR,64,NR,79.136793,25.261271
12448,U P SMPRK KRNTI,HARPALPUR,HPP,74,NR,79.33546100000000,25.290501
12448,U P SMPRK KRNTI,KULPAHAR,KLAR,85,NR,79.63751,25.29552
12448,U P SMPRK KRNTI,MAHOBA,MBA,104,NR,79.849079,25.306914
12448,U P SMPRK KRNTI,BANDA JN,BNDA,79,NR,80.336246,25.477677
12448,U P SMPRK KRNTI,ATARRA,ATE,92,NR,80.576491,25.291367
12448,U P SMPRK KRNTI,BHARAT KUP,BTKP,129,NR,80.76767900000000,25.217166
12448,U P SMPRK KRNTI,SHIVRAMPUR,SWC,137,NR,80.82678300000000,25.219375
12448,U P SMPRK KRNTI,CHITRAKOOTDHAM,CKTD,116,NR,80.922775,25.217611
12448,U P SMPRK KRNTI,MANIKPUR JN,MKP,76,NR,81.09365700000000,25.063492
