Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12941,BVC ASANSOL EXP,BHAVNAGAR TRMUS,BVC,9,WR,72.141059,21.781668
12941,BVC ASANSOL EXP,SONGADH,SGD,12,WR,71.886759,21.728936
12941,BVC ASANSOL EXP,DHOLA JN,DLJ,13,WR,71.738273,21.822549
12941,BVC ASANSOL EXP,BOTAD JN,BTD,19,WR,71.6655966,22.1828706
12941,BVC ASANSOL EXP,JORAWARNAGAR JN,JVN,19,WR,71.641594,22.71246
12941,BVC ASANSOL EXP,VIRAMGAM JN,VG,5,WR,72.052968,23.129098
12941,BVC ASANSOL EXP,AHMEDABAD JN,ADI,10,WR,72.601516,23.025515
12941,BVC ASANSOL EXP,NADIAD JN,ND,8,WR,72.855718,22.694106
12941,BVC ASANSOL EXP,CHHAYAPURI,CYI,8,WR,73.179698,22.388284
12941,BVC ASANSOL EXP,DAHOD,DHD,4,WR,74.25337400000000,22.843607
12941,BVC ASANSOL EXP,RATLAM JN,RTM,5,WR,75.050826,23.34038
12941,BVC ASANSOL EXP,NAGDA JN,NAD,1,WR,75.41249100000000,23.45592
12941,BVC ASANSOL EXP,SHAMGARH,SGZ,15,WR,75.642842,24.191141
12941,BVC ASANSOL EXP,BHAWANI MANDI,BWM,15,WR,75.82981,24.419472
12941,BVC ASANSOL EXP,RAMGANJ MANDI,RMA,18,WR,75.939411,24.644606
12941,BVC ASANSOL EXP,KOTA JN,KOTA,11,WR,75.8805,25.223553
12941,BVC ASANSOL EXP,SAWAI MADHOPUR,SWM,12,WR,76.35622,26.018279
12941,BVC ASANSOL EXP,GANGAPUR CITY,GGC,9,WR,76.72770800000000,26.468979
12941,BVC ASANSOL EXP,SHRI MAHAVEERJI,SMVJ,4,WR,,
12941,BVC ASANSOL EXP,AGRA FORT,AF,14,WR,78.0191,27.183308
12941,BVC ASANSOL EXP,TUNDLA JN,TDL,3,WR,78.233285,27.207747
12941,BVC ASANSOL EXP,KANPUR CENTRAL,CNB,32,WR,80.350966,26.45424
12941,BVC ASANSOL EXP,PRAYAGRAJ JN,PRYJ,57,WR,81.8253,25.4453
12941,BVC ASANSOL EXP,PT DEEN DAYAL UPADHYAY JN,DDU,30,WR,,
12941,BVC ASANSOL EXP,BHABUA ROAD,BBU,32,WR,83.618913,25.173007
12941,BVC ASANSOL EXP,SASARAM,SSM,31,WR,84.019423,24.955926
12941,BVC ASANSOL EXP,DEHRI ON SONE,DOS,32,WR,84.185434,24.914895
12941,BVC ASANSOL EXP,ANUGRAHA N ROAD,AUBR,36,WR,84.3298444,24.8559556
12941,BVC ASANSOL EXP,GAYA JN,GAYA,50,WR,84.999294,24.803978
12941,BVC ASANSOL EXP,KODERMA,KQR,54,WR,85.52945800000000,24.434741
12941,BVC ASANSOL EXP,PARASNATH,PNME,66,WR,86.037862,23.987971
12941,BVC ASANSOL EXP,DHANBAD JN,DHN,48,WR,86.428956,23.790966
12941,BVC ASANSOL EXP,ASANSOL JN,ASN,39,WR,86.975152,23.691441
